357,574
365,664
375,752
394,841
425,922
474,998
535,1064
608,1110
692,1121
777,1098
846,1044
907,975
955,901
982,822
995,740
1003,658
1008,575
434,537
471,489
529,469
590,471
650,488
741,488
798,467
861,465
919,486
952,533
693,537
694,594
694,651
695,711
609,744
649,752
691,763
732,750
773,740
501,559
537,541
572,539
609,558
572,560
537,562
778,555
816,535
852,537
887,557
851,558
815,556
524,844
575,820
639,813
691,820
738,810
799,813
851,832
803,897
744,932
695,940
642,936
577,907
538,847
640,834
691,838
738,830
835,836
741,892
693,902
642,896
