395,554
403,615
411,675
417,735
433,796
468,847
519,891
583,920
656,924
729,909
794,873
848,827
886,771
901,704
902,634
901,566
900,499
430,503
446,459
486,435
534,429
579,443
651,438
695,417
746,415
791,430
823,461
619,485
622,528
624,571
628,616
585,647
609,655
635,661
661,648
685,636
491,514
515,495
543,491
570,506
544,511
517,514
688,494
716,473
743,468
769,483
745,489
718,492
531,732
568,718
609,711
642,713
675,703
721,700
766,709
727,754
685,774
650,780
615,781
571,772
541,733
611,724
643,723
677,716
757,713
680,755
646,762
613,762
