330,663
340,727
351,789
365,850
393,908
431,959
478,1003
525,1044
579,1053
638,1041
700,1002
764,959
819,903
855,838
866,767
866,691
865,613
345,619
363,583
402,566
446,562
490,572
579,568
626,545
676,540
727,550
765,581
536,624
538,674
539,722
540,772
499,795
523,804
550,811
579,800
606,789
402,645
426,627
457,623
486,640
457,648
427,651
616,630
643,609
674,606
704,621
677,631
646,632
475,866
500,853
530,847
557,852
586,844
625,843
668,853
630,894
592,912
561,916
531,914
502,899
489,865
531,858
559,860
587,855
655,853
589,886
560,891
531,887
